,0,1,2,3,4,5
160,日本,今天也要用便當出擊,2019-09-12,1,2964,669013
161,以色列,今天跳舞不打仗,2018-03-02,1,"1,196","257,765"
162,法國,今生情未了,2017-12-15,1,"1,864","377,885"
163,美國,他們不再老去,2019-03-29,2,"6,823","1,563,649"
164,德國,他叫簡單，他是我兄弟,2018-06-22,5,"1,465","305,528"
165,丹麥,他媽的完美女友,2018-07-06,4,"1,350","294,385"
166,日本,仙人畫家：熊谷守一,2018-10-01,5,"1,162","240,675"
167,美國,仙戒奇緣,2019-08-16,1,5989,1330655
168,美國,以你的名字呼喚我,2018-01-12,2,"30,488","7,088,395"
169,香港,以青春的名義,2018-01-26,1,29,"6,880"
170,美國,仲夏魘,2019-07-12,2,10932,2449440
171,日本,企鵝公路,2019-01-18,1,17808,4082250
172,法國,企鵝寶貝2：極地的呼喚,2018-12-21,1,286,"65,431"
173,美國,伊剎貝爾,2019-07-26,6,2568,559791
174,日本,伊索遊戲,2019-10-25,4,951,211285
175,美國,伴唱人生：聚光燈外二十呎,2014-08-08,1,3,450
176,香港,低壓槽,2018-05-04,1,"15,033","3,302,137"
177,德國,你不快樂嗎?,2019-08-30,1,334,70037
178,黎巴嫩,你只欠我一個道歉,2018-03-23,1,"8,569","1,819,820"
179,英國,你才女巫，你全家都女巫,2018-04-27,1,"1,091","227,650"
180,中華民國,你找什麼？,2017-07-10,1,81,"18,830"
181,美國,你是我的勇氣,2017-10-13,1,"28,483","6,231,404"
182,中華民國,你的臉+光,2019-05-17,1,7269,1488500
183,美國,你願意嫁給我老公嗎？,2019-08-30,1,8692,1730303
184,香港,使徒行者2 諜影行動,2019-08-30,1,23440,5001687
185,日本,來了,2019-03-22,1,8140,1821315
186,日本,來自大海的男人,2018-10-26,5,"1,124","242,202"
187,波蘭,來自未來的她,2018-08-24,3,19,"4,470"
188,日本,來自深淵劇場版總集篇前編：啟程的黎明,2019-02-22,4,"5,090","2,031"
189,日本,來自深淵劇場版總集篇後編：流浪之黄昏,2019-03-08,1,"1,608","384,140"
190,美國,侏羅紀世界:殞落國度,2018-06-06,1,"2,554,600","621,672,249"
191,美國,侵密室友,2019-04-03,1,27180,5912210
192,南韓,信徒,2018-06-22,1,"5,515","1,195,241"
193,日本,信用詐欺師JP,2019-09-27,1,15408,3535367
194,美國,倒數計死,2019-12-27,65,42698,9808440
195,泰國,借來的100天,2019-01-11,1,"15,552","3,492,512"
196,中國大陸,假如王子睡著了,2018-01-19,17,"3,258","758,057"
197,法國,假掰英雄,2018-05-04,2,"1,586","325,620"
198,日本,假面飯店,2019-03-15,1,50973,11317083
199,日本,假面騎士ZI-O Over Quartzer/快盜戰隊魯邦連者VS警察戰隊巡邏連者 en film,2019-12-13,6,6646,1589565
200,日本,假面騎士平成世代巔峰決戰BUILD&EX-AIDWITH傳說騎士,2018-02-08,2,"4,599","1,088,186"
201,義大利,偵兇,2019-08-23,3,1894,391850
202,西班牙,偵相,2019-11-15,8,1178,265599
203,丹麥,傑克蓋的房子,2018-11-30,3,"5,629","1,284,524"
204,香港,催眠 . 裁決,2019-11-15,1,11983,2756124
205,中華民國,傻傻愛你，傻傻愛我,2019-11-01,3,42056,9440587
206,日本,億男,2019-02-01,1,"1,919","428,496"
207,美國,億萬男孩俱樂部,2018-10-19,1,"26,803","6,093,088"
208,南韓,優雅的謊言,2018-09-28,3,421,"88,380"
209,日本,元氣人生,2019-02-15,1,636,"126,830"
210,法國,兄弟，嫁給我好嗎,2018-01-26,2,"1,269","212,890"
211,日本,先生！我可以喜歡你嗎,2018-03-09,1,"10,801","2,512,500"
212,馬來西亞,光,2019-08-23,2,3924,854886
213,義大利,克林姆與席勒：靈慾之間,2019-10-09,1,416,94440
214,南韓,克萊兒的相機,2018-05-25,1,667,"145,920"
215,以色列,兒子的完美告別,2017-07-07,1,3530,750530
216,日本,全員死刑,2018-03-30,3,546,"120,640"
217,美國,全面攻佔3: 天使救援,2019-08-21,3,636969,147425692
218,法國,全面開戰,2018-12-02,1,824,177091
219,法國,全面霾伏,2018-08-24,1,"37,220","8,347,362"
220,美國,兩個爸爸,2018-10-05,1,"3,015","666,024"
221,法國,八美圖,2002-11-16,1,732,"153,985"
222,中華民國,六個嫌疑犯,2019-08-17,1,2,250
223,日本,再一次，台灣見,2018-03-16,1,975,"224,184"
224,日本,再會：大人的禁斷戀愛,2019-08-23,2,27,5945
225,香港,再見了!小Q,2019-09-12,1,5091,1138120
226,日本,再見了，唇,2019-08-23,2,1833,413774
227,南韓,冠軍大叔,2018-06-15,1,"205,544","45,231,049"
228,加拿大,冥房,2018-07-27,1,533,"118,750"
229,俄羅斯,冰上情緣,2018-04-20,1,843,"190,313"
230,法國,冰海異種,2018-01-12,1,"1,547","329,825"
231,日本,冰菓,2018-03-02,2,"1,009","239,257"
232,美國,冰雪奇緣2,2019-11-21,88,1407446,333387855
233,英國,凱撒大帝(英國國家劇院現場),2018-10-19,5,822,"548,960"
234,美國,凸搥特派員:三度出擊,2018-09-21,1,"258,950","58,900,385"
235,中華民國,出發,2019-05-31,2,69374,15430131
236,法國,出發吧！我的脫單假期,2019-08-09,3,2353,513654
237,以色列,出走巴黎,2019-07-26,2,3642,765106
238,日本,刀劍神域劇場版-序列爭戰,2017-02-24,5,"213,727","55,675,013"
239,南韓,分秒幣爭,2018-11-30,1,22101,4929276
240,馬來西亞,分貝人生,2017-12-01,1,"1,164","246,213"
241,中華民國,切小金家的旅館,2018-07-12,1,"89,959","19,771,591"
242,英國,初戀手作中,2019-01-04,1,798,"166,100"
243,美國,判決,2018-09-28,1,"16,413","3,656,015"
244,法國,別問我是誰,2019-06-21,2,"4,512","920,125"
245,美國,別回頭,2018-06-02,1,229,"40,560"
246,美國,別闖陰陽界,2017-11-03,1,"54,484","11,784,259"
247,美國,利斧狂魔,2018-09-14,1,111,"23,990"
248,美國,刺殺終點戰,2018-05-04,1,"17,795","3,809,717"
249,德國,前任同盟,2018-10-26,2,98,"19,740"
250,日本,劇場版 假面騎士Build 合而為一,2019-09-13,6,1074,263148
251,日本,劇場版 假面騎士：永遠的平成世代,2019-09-27,1,2401,577479
252,日本,劇場版 歌之☆王子殿下♪真愛KINGDOM,2019-06-14,1,9749,2494946
253,日本,劇場版FREE! 男子游泳部–Road to the World–夢,2019-08-28,1,10781,2600494
254,日本,劇場版動畫借來的100天,2019-01-04,4,"1,700",470
255,日本,劇場版歌之☆王子殿下♪真愛KINGDOM,2019-06-14,6,7337,1928417
256,日本,劇場版無敵鐵金剛/INFINITY,2018-03-30,1,"29,220","6,892,364"
257,日本,劇場版王室教師海涅,2019-03-29,2,"1,741","410,154"
258,英國,劊子手(英國國家劇院現場),2018-10-19,2,769,"507,920"
259,美國,劊樂小丑,2018-08-17,1,775,"170,395"
260,南韓,加油吧 ! 李先生,2019-10-18,1,3166,712207
261,巴西,加百列的東非七十天,2018-04-27,1,877,"178,835"
262,英國,劫孕,2018-01-26,2,"6,489","1,484,810"
263,比利時,劫局,2018-11-16,1,"2,046","424,406"
264,美國,勝負反手拍,2017-11-24,1,"10,170","2,159,582"
265,美國,勾魂200小時,2018-07-06,3,90,"20,690"
266,日本,北之櫻守－媽媽的守護者,2018-04-27,4,"4,038","813,157"
267,法國,北極上學趣,2018-09-14,1,"1,931","426,985"
268,英國,北韓搖滾解放日,2018-04-27,1,"2,196","487,802"
269,南韓,北風,2018-09-07,1,"10,241","2,338,381"
270,芬蘭,匿名的畫作,2019-09-06,4,4487,929115
271,日本,十二個想死的少年,2019-04-12,1,18914,4306354
272,美國,午夜遊戲,2018-04-06,1,128,"26,940"
273,中國大陸,南方車站的聚會,2019-12-10,3,4676,1045728
274,義大利,卡拉瓦喬：靈魂與血肉之軀,2019-04-26,3,430,"92,380"
275,法國,卡拉絲：為愛而聲,2018-04-03,1,"3,813","820,993"
276,俄羅斯,危險性交易,2018-08-03,1,128,"28,615"
277,丹麥,厄夜追緝令,2019-03-15,1,10231,2096987
278,法國,厄夢娃娃屋,2018-04-20,1,"12,302","2,854,876"
279,美國,厄月驚魂曲,2018-03-30,2,92,"19,360"
280,美國,厄林殺機,2019-05-03,1,878,197603
281,日本,原本以為只是手機掉了,2019-04-19,1,8723,1949391
282,南韓,原罪犯,2018-05-11,2,"2,180","488,346"
283,美國,厭世媽咪日記,2018-05-11,1,"22,620","5,292,168"
284,俄羅斯,厲可拍,2018-09-28,1,"14,479","3,326,711"
285,荷蘭,去他X的放蕩青春,2018-10-01,1,191,"29,980"
286,日本,去年冬天，與你分別,2018-06-22,1,"4,210","917,237"
287,美國,去年聖誕節,2019-12-06,23,93684,22098417
288,美國,去死吧！老闆,2018-06-01,4,"1,200","283,754"
289,日本,友罪,2018-07-13,1,"5,749","1,304,969"
290,日本,反叛的魯路修I興道,2018-04-20,3,"6,084","1,492,325"
291,德國,反間遊戲,2019-11-01,1,3389,743484
292,日本,受難,2019-10-04,1,26,5805
293,美國,古墓奇兵,2018-03-08,2,"586,928","137,602,724"
294,香港,古宅,2019-01-25,2,208,"47,695"
295,日本,古書堂事件手帖,2018-12-21,1,"2,518","555,214"
296,日本,古都,2017-02-24,1,"8,648","1,757,125"
297,中華民國,只有大海知道,2018-06-15,1,"37,862","8,407,462"
298,泰國,只有我能喜歡妳,2019-09-27,3,14942,3442155
299,英國,只殺陌生人,2018-04-20,1,"6,187","1,276,968"
300,美國,可可夜總會,2017-11-24,3,"600,838","135,232,352"
301,中華民國,台北物語,2017-05-19,1,"16,094","3,953,520"
302,英國,史達林死了沒？,2018-04-27,1,"3,844","871,216"
303,日本,吉娃娃羅曼死,2019-02-27,4,"5,895",742
304,香港,吉屋,2019-01-25,1,158,"35,905"
305,中華民國,同學會來嗎,2018-11-02,1,"1,397","308,975"
306,日本,名偵探柯南:零的執行人,2018-07-06,5,"393,711","92,350,164"
307,日本,名偵探柯南：紺青之拳,2019-07-10,1,472497,109674984
308,美國,名偵探皮卡丘,2019-05-09,1,684482,160781606
309,英國,君臣人子小命嗚呼（英國國家劇院現場）,2018-01-10,4,588,"380,520"
310,中國大陸,吹哨人,2019-12-27,23,2033,441986
311,丹麥,吾家有神,2018-03-02,1,247,"49,425"
312,美國,吾愛吾詩,2019-05-24,1,754,150715
313,德國,呆萌特務,2019-12-06,5,7258,1614170
314,中華民國,命帶追逐（2018數位修復版）,2018-07-13,1,"3,035","669,676"
315,澳洲,咖啡大師,2019-08-30,1,251,54650
316,美國,哈佛沒教的幸福課,2017-09-08,1,"10,964","2,502,663"
317,英國,哈利路亞！,2019-12-04,5,135,84320
318,中華民國,哈囉！有事嗎,2018-10-23,1,"5,553","1,192,587"
319,加拿大,哈柏太空之旅 3D,2019-02-04,1,562,80685
320,加拿大,哈柏太空之旅3D,2019-02-04,1,449,64130
321,日本,哈納萊伊灣,2019-04-03,1,761,"165,418"
322,美國,哥吉拉II怪獸之王,2019-05-29,1,1072120,259835598
323,日本,哥吉拉：噬星者,2019-01-11,3,637,"143,315"
324,日本,哥吉拉：怪獸惑星,2019-01-04,4,251,"53,940"
325,日本,哥吉拉：決戰機動增殖都市,2019-01-04,2,248,"53,335"
326,美國,哭泣的女人,2019-04-17,1,135751,31268319
327,中國大陸,唐人街探案2,2019-12-13,2,114,25630
328,美國,唐頓莊園,2019-09-20,2,11325,2533898
329,英國,唯你是愛,2019-12-13,2,153,28210
330,日本,喔！露西,2018-09-07,5,"1,115","234,170"
331,美國,喜劇天團：勞萊與哈台,2019-03-22,1,"1,956","439,586"
332,香港,喜怒哀樂,2019-01-25,1,94,"20,125"
333,法國,喜歡你愛上你逃離你,2018-07-27,1,"3,896","862,401"
334,英國,喬治三世的瘋狂,2019-06-21,1,546,"358,200"
335,英國,喬治三世的瘋狂(英國國家劇院現場),2019-06-21,5,187,120320
336,中國大陸,嘉年華,2018-01-26,2,"2,531","552,244"
337,法國,嘰哩咕與夥伴,2018-10-28,1,5,500
338,美國,噤界,2018-04-04,6,"315,547","72,372,674"
339,巴西,噩靈再臨,2018-05-18,1,71,"15,275"
340,加拿大,噬童魔,2018-11-09,2,54,"13,080"
341,美國,噬魂實驗,2019-04-19,2,288,"65,510"
342,美國,嚇地獄,2018-11-02,1,"14,199","3,077,348"
343,美國,嚕嚕米冬日樂園,2018-02-14,1,"1,574","326,790"
344,墨西哥,四月的女兒,2018-04-13,3,492,"106,065"
345,中華民國,回來安平港,2019-01-12,1,6,960
346,法國,囧叔大翻身,2019-07-19,1,622,134605
347,美國,囧媽的極地任務,2019-09-27,2,10190,2270006
348,美國,圍雞總動員,2018-04-20,5,"92,549","20,557,103"
349,日本,在咖啡冷掉之前,2018-10-05,1,"55,267","12,309,971"
350,日本,在地下城尋求邂逅是否搞錯了什麼─獵戶座之箭─,2019-02-22,4,"21,479","5,270,643"
351,日本,在時間停止的世界相遇,2019-10-09,8,3723,826312
352,美國,在黑暗中說的鬼故事,2019-08-07,1,229138,52659209
353,英國,地下狂熱趴,2019-09-27,1,965,216192
354,中國大陸,地久天長,2019-11-08,2,2608,603840
355,中華民國,地圖的盡頭,2017-09-15,1,"71,899","15,921,240"
356,日本,地獄哪有那麼HIGH！,2016-08-26,1,"7,591","1,684,995"
357,美國,地獄家政婦,2019-08-23,2,477,"103,282"
358,美國,地獄怪客: 血后的崛起,2019-04-11,2,141184,31441007
359,美國,地獄怪客:血后的崛起,2019-04-11,8,140273,31365697
360,加拿大,地獄自拍,2019-02-27,1,263,"59,880"
361,加拿大,地球另一端的守候,2018-08-24,3,859,"174,035"
362,英國,地球：奇蹟的一天,2018-05-04,1,"9,558","2,176,124"
363,美國,坂本龍一: async紐約現場,2018-07-13,1,577,"140,176"
364,美國,坂本龍一:async紐約現場,2018-07-13,1,659,"164,448"
365,日本,坂本龍一：終章,2018-07-13,1,10484,2307259
366,日本,坂道上的阿波羅,2018-07-20,1,"2,823","623,782"
367,法國,城市獵人,2019-05-24,1,20930,4476479
368,日本,城市獵人劇場版 新宿Private Eyes,2019-07-19,1,"7,205","1,786,088"
369,中國大陸,塑料王國,2018-09-28,1,"3,639","775,912"
370,美國,壞事大飯店,2018-11-23,1,"5,055","1,033,112"
371,美國,壞壞萌雪怪,2019-10-04,3,73526,16684674
372,俄羅斯,夏,2018-10-26,1,"1,673","377,028"
373,西班牙,夏日1993,2018-06-29,2,348,"76,460"
374,日本,夏日大作戰,2018-08-10,1,716,"157,206"
375,日本,夏目友人帳劇場版緣結空蟬,2018-12-07,3,"23,106","5,381,955"
376,馬來西亞,夕霧花園,2019-11-29,2,17450,3941435
377,挪威,外出偷馬,2019-12-20,2,894,187619
378,義大利,外慾,2018-09-28,1,"1,412","292,902"
379,法國,多情動物,2017-12-29,1,"1,271","274,675"
380,日本,多桑不在家,2018-03-30,1,"5,853","1,256,485"
381,南韓,夜半鬼哭聲,2018-12-07,3,"2,933","646,773"
382,法國,夜噬人生,2018-10-31,3,87,"19,460"
383,美國,夜驚,2018-11-02,1,"5,231","1,197,642"
384,澳洲,夜鶯的哭聲,2019-09-12,1,4415,903190
385,美國,夢想心樂章,2018-05-11,1,"10,716","2,427,711"
386,匈牙利,夢鹿情謎,2017-11-24,1,"3,813","814,915"
387,中華民國,大三元,2019-02-01,1,"105,954","23,605,217"
388,中國大陸,大世界,2017-12-02,1,707,"156,446"
389,日本,大人的戀愛情事,2019-08-09,2,23,5310
390,中華民國,大佛普拉斯,2017-10-13,3,"136,514","29,713,066"
391,美國,大冒險家,2019-05-03,1,19275,4240573
392,日本,大叔之愛電影版,2019-09-06,2,29478,6837827
393,德國,大叔好神騎,2019-06-28,1,1068,184595
394,美國,大君主行動,2018-11-09,4,"10,330","161,937"
395,美國,大娛樂家,2017-12-20,2,"395,028","91,804,012"
396,義大利,大師之眼—從安東尼奧尼到伍迪艾倫,2018-10-12,2,109,"21,060"
397,香港,大師兄,2018-08-24,1,"145,841","31,790,004"
398,美國,大河戀：4K數位修復版,2017-11-10,1,"1,396","287,110"
